GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
135,-818.0709,-26509.4141,-4865.2687,124.87007087999999,-27327.485,-4740.39862912,-32067.883629120002
136,-940.8985,-26431.089,-4877.0271,120.54998664,-27371.9875,-4756.477113360001,-32128.46461336
137,-870.327,-26446.263,-4760.7075,116.0818344,-27316.59,-4644.6256656000005,-31961.2156656
138,-697.5401,-26544.7541,-4743.0977,115.7559228,-27242.294199999997,-4627.3417772,-31869.635977199996
139,-891.2003,-26478.8866,-4780.3436,116.56856664,-27370.086900000002,-4663.77503336,-32033.861933360004
140,-779.325,-26451.0633,-4826.427,118.53957816,-27230.388300000002,-4707.88742184,-31938.275721840004
141,94.5928,-26326.3418,-4955.8237,116.32098239999999,-26231.749,-4839.5027176,-31071.2517176
142,-1268.631,-26469.4715,-4853.794,117.98499456,-27738.1025,-4735.80900544,-32473.911505440003
143,-1004.3157,-26230.7118,-4963.7906,118.42981199999998,-27235.0275,-4845.360788,-32080.388288000002
144,-840.0827,-26574.0113,-4778.1533,118.01512367999999,-27414.093999999997,-4660.13817632,-32074.232176319994
145,-796.0096,-26637.7248,-4695.2366,117.50658768,-27433.7344,-4577.73001232,-32011.46441232
146,-874.2204,-26477.7915,-4814.1415,119.21267376,-27352.011899999998,-4694.92882624,-32046.940726239995
147,-189.3742,-26363.4639,-4931.2727,120.73364495999999,-26552.838099999997,-4810.539055040001,-31363.377155039998
148,-389.6003,-26529.2451,-4783.9454,119.4407532,-26918.8454,-4664.5046468,-31583.3500468
149,-146.9402,-26564.4001,-4784.1324,117.17863344,-26711.3403,-4666.95376656,-31378.29406656
150,-961.5531,-26496.7324,-4810.8817,121.70522951999999,-27458.2855,-4689.17647048,-32147.461970480002
151,-938.0828,-26506.5523,-4769.111,121.44310992000001,-27444.6351,-4647.66789008,-32092.30299008
152,-1151.0259,-26426.1491,-4894.6558,123.03503855999999,-27577.175,-4771.62076144,-32348.79576144
153,38.4624,-26498.7272,-4881.6003,120.9803256,-26460.2648,-4760.6199744000005,-31220.8847744
154,-605.4994,-26450.4459,-4849.2607,120.83285304,-27055.9453,-4728.427846959999,-31784.37314696
155,-594.1218,-26524.8904,-4818.9012,120.00559104000001,-27119.0122,-4698.895608960001,-31817.90780896
156,-577.739,-26576.6173,-4730.3361,120.09684096,-27154.356300000003,-4610.23925904,-31764.595559040004
157,-1094.5109,-26315.1505,-5006.7564,121.85977248,-27409.6614,-4884.89662752,-32294.558027520005
158,-942.9786,-26274.0102,-5005.0819,122.16327984,-27216.9888,-4882.9186201600005,-32099.90742016
159,-495.7251,-26553.3357,-4744.5144,120.75361344000001,-27049.0608,-4623.76078656,-31672.82158656
160,-42.1119,-26659.3428,-4607.1855,117.40781159999999,-26701.4547,-4489.7776883999995,-31191.2323884
161,-353.4549,-26412.3517,-4900.5004,122.08027607999999,-26765.8066,-4778.42012392,-31544.22672392
162,-672.165,-26437.3623,-4833.5551,120.08300399999999,-27109.5273,-4713.4720959999995,-31822.999396
163,-217.7539,-26741.9493,-4645.7069,117.5902344,-26959.7032,-4528.1166656000005,-31487.819865600002
164,-750.7754,-26310.6203,-4957.5205,122.30002080000001,-27061.395699999997,-4835.220479199999,-31896.616179199995
165,-747.4297,-26552.5791,-4736.8399,115.64215632,-27300.0088,-4621.19774368,-31921.20654368
166,-160.4371,-26534.1427,-4763.6211,121.16597039999999,-26694.5798,-4642.4551296,-31337.0349296
167,-546.2483,-26298.5752,-4907.1414,119.05644095999999,-26844.8235,-4788.08495904,-31632.908459039998
168,-418.4349,-26271.8383,-4852.5297,118.27768823999999,-26690.2732,-4734.25201176,-31424.52521176
169,-534.204,-26550.3366,-4767.9659,122.29812648000001,-27084.5406,-4645.66777352,-31730.20837352
170,31.1637,-26359.0144,-4958.7823,121.43100744000002,-26327.8507,-4837.35129256,-31165.20199256
171,-770.9636,-26326.544,-4863.8658,124.34309784,-27097.5076,-4739.522702159999,-31837.03030216
172,-155.3636,-26564.3425,-4749.7012,119.32254864,-26719.7061,-4630.378651360001,-31350.08475136
